<constsym,const>
<ident,a>
<becomes,=>
<number,10>
<semicolon,;>
<varsym,var>
<ident,b>
<comma,,>
<ident,c>
<semicolon,;>
<procsym,procedure>
<ident,p>
<semicolon,;>
<beginsym,begin>
<ident,c>
<becomes,:=>
<ident,b>
<plus,+>
<ident,a>
<semicolon,;>
<endsym,end>
<semicolon,;>
<beginsym,begin>
<readsym,read>
<lparen,(>
<ident,b>
<rparen,)>
<semicolon,;>
<whilesym,while>
<ident,b>
<neq,#>
<number,0>
<dosym,do>
<beginsym,begin>
<callsym,call>
<ident,p>
<semicolon,;>
<writesym,write>
<lparen,(>
<number,2>
<times,*>
<ident,c>
<rparen,)>
<semicolon,;>
<readsym,read>
<lparen,(>
<ident,b>
<rparen,)>
<endsym,end>
<endsym,end>
<period,.>
